"Index","total_flights","delay_flights","cancel_flights","divert_flights","pct_delay","pct_cancel","pct_divert"
"2010-01-01",8912,1989,279,9,22.3182226211849,3.13061041292639,0.100987432675045
"2010-02-01",8418,1918,785,23,22.7845093846519,9.32525540508434,0.273224043715847
"2010-03-01",9637,2720,242,32,28.2245512088824,2.51115492373145,0.332053543633911
"2010-04-01",9363,1312,58,7,14.0126027982484,0.619459574922568,0.0747623624906547
"2010-05-01",9360,1569,102,8,16.7628205128205,1.08974358974359,0.0854700854700855
"2010-06-01",9502,1955,157,5,20.5746158703431,1.65228372974111,0.052620500947169
"2010-07-01",9992,2256,222,10,22.57806244996,2.22177742193755,0.100080064051241
"2010-08-01",10173,2108,138,20,20.7215177430453,1.35653199646122,0.196598840066844
"2010-09-01",9417,1708,144,6,18.137411065095,1.52914941064033,0.0637145587766805
"2010-10-01",9762,1897,131,9,19.4324933415284,1.3419381274329,0.0921942224953903
"2010-11-01",9558,1785,99,2,18.6754551161331,1.03578154425612,0.0209248796819418
"2010-12-01",9429,2483,678,6,26.3336515006894,7.19058224626153,0.0636334712058543
"2011-01-01",9000,1965,904,11,21.8333333333333,10.0444444444444,0.122222222222222
"2011-02-01",8355,1511,654,7,18.0849790544584,7.82764811490126,0.0837821663674446
"2011-03-01",9501,2139,153,16,22.5134196400379,1.61035680454689,0.168403325965688
"2011-04-01",9351,2568,207,10,27.4623034969522,2.21366698748797,0.106940434178163
"2011-05-01",9542,3391,198,13,35.537623139803,2.07503667994131,0.136239782016349
"2011-06-01",9552,2649,226,15,27.7324120603015,2.36599664991625,0.157035175879397
"2011-07-01",9896,2336,208,8,23.605497170574,2.1018593371059,0.0808407437348424
"2011-08-01",9909,2653,698,17,26.7736401251388,7.04410132203048,0.17156120698355
"2011-09-01",8845,2079,135,8,23.5048049745619,1.52628603730921,0.0904465799886942
"2011-10-01",9100,1827,99,1,20.0769230769231,1.08791208791209,0.010989010989011
"2011-11-01",8496,1151,79,5,13.5475517890772,0.92984934086629,0.0588512241054614
"2011-12-01",8146,889,72,2,10.9133316965382,0.883869383746624,0.0245519273262951
"2012-01-01",8228,1254,107,12,15.2406417112299,1.30043753038405,0.145843461351483
"2012-02-01",8016,857,62,5,10.6911177644711,0.773453093812375,0.062375249500998
"2012-03-01",8869,1606,72,4,18.1080166873379,0.811816439282895,0.0451009132934942
"2012-04-01",8793,1142,39,1,12.9876037757307,0.443534629819174,0.0113726828158763
"2012-05-01",8987,1686,54,4,18.7604317347279,0.600867920329365,0.0445087348392122
"2012-06-01",8751,1970,118,12,22.5117129470918,1.34841732373443,0.137127185464518
"2012-07-01",8960,2121,89,10,23.671875,0.993303571428571,0.111607142857143
"2012-08-01",9140,1923,98,6,21.0393873085339,1.07221006564551,0.0656455142231947
"2012-09-01",8293,1490,69,6,17.9669600868202,0.832027010731943,0.0723501748462559
"2012-10-01",8809,1358,624,7,15.4160517652401,7.08366443410149,0.0794641843569077
"2012-11-01",8345,1240,90,2,14.8591971240264,1.07849011384062,0.0239664469742361
"2012-12-01",8024,1470,101,10,18.3200398803589,1.25872382851446,0.124626121635095
"2013-01-01",8168,1134,81,13,13.8834476003918,0.991674828599412,0.159157688540646
"2013-02-01",7714,1413,479,20,18.3173450868551,6.20948924034223,0.259268861809697
"2013-03-01",9195,2089,218,12,22.7188689505166,2.37085372485046,0.130505709624796
"2013-04-01",9318,1809,92,6,19.4140373470702,0.987336338270015,0.0643915003219575
"2013-05-01",9580,2009,58,9,20.9707724425887,0.605427974947808,0.0939457202505219
"2013-06-01",9750,2748,118,17,28.1846153846154,1.21025641025641,0.174358974358974
"2013-07-01",10291,3045,150,20,29.5889612282577,1.45758429695851,0.194344572927801
"2013-08-01",10392,2278,55,9,21.9207082371055,0.529253271747498,0.0866050808314088
"2013-09-01",9290,1434,73,9,15.4359526372443,0.785791173304629,0.0968783638320775
"2013-10-01",9702,1148,31,6,11.8326118326118,0.319521748093177,0.0618429189857761
"2013-11-01",9075,1044,55,9,11.504132231405,0.606060606060606,0.0991735537190083
"2013-12-01",8890,2249,223,18,25.2980877390326,2.50843644544432,0.202474690663667
"2014-01-01",8283,1825,707,36,22.0330798020041,8.53555475069419,0.434625135820355
"2014-02-01",7755,1571,593,13,20.2578981302386,7.64667956157318,0.167633784655061
"2014-03-01",9322,1597,191,3,17.1315168418794,2.0489165415147,0.0321819352070371
"2014-04-01",9374,1544,65,5,16.4710902496266,0.693407296778323,0.0533390228291018
"2014-05-01",9534,1899,141,7,19.9181875393329,1.47891755821271,0.0734214390602056
"2014-06-01",9662,2279,141,6,23.5872490167667,1.45932519147174,0.0620989443179466
"2014-07-01",10098,2652,181,13,26.2626262626263,1.79243414537532,0.128738364032482
"2014-08-01",9932,1984,65,7,19.975835682642,0.654450261780105,0.0704792589609343
"2014-09-01",9105,1288,69,9,14.1460735859418,0.757825370675453,0.0988467874794069
"2014-10-01",9673,2163,82,9,22.3612116199731,0.847720459009614,0.0930424894034943
"2014-11-01",9020,1602,51,3,17.7605321507761,0.565410199556541,0.0332594235033259
"2014-12-01",8872,1912,44,10,21.5509467989179,0.495942290351668,0.112714156898106
"2015-01-01",8841,1970,658,10,22.2825472231648,7.44259699129058,0.113109376767334
"2015-02-01",8383,2739,1123,20,32.6732673267327,13.3961588929977,0.238578074674937
"2015-03-01",9980,2232,238,28,22.3647294589178,2.38476953907816,0.280561122244489
"2015-04-01",10005,1895,68,10,18.9405297351324,0.679660169915042,0.0999500249875062
