min,mean,max,date
64,75,84,'2013-08-01'
57,70,82,'2013-08-02'
57,70,82,'2013-08-03'
55,73,91,'2013-08-04'
69,79,89,'2013-08-05'
60,74,87,'2013-08-06'
69,78,88,'2013-08-07'
66,78,88,'2013-08-08'
57,72,88,'2013-08-09'
59,70,82,'2013-08-10'
59,70,82,'2013-08-11'
57,72,86,'2013-08-12'
59,72,86,'2013-08-13'
68,78,87,'2013-08-14'
66,76,86,'2013-08-15'
60,71,82,'2013-08-16'
57,68,78,'2013-08-17'
55,68,82,'2013-08-18'
62,74,86,'2013-08-19'
57,72,86,'2013-08-20'
66,74,82,'2013-08-21'
62,72,82,'2013-08-22'
55,66,78,'2013-08-23'
53,68,84,'2013-08-24'
51,66,82,'2013-08-25'
60,72,83,'2013-08-26'
55,66,77,'2013-08-27'
59,70,80,'2013-08-28'
57,69,78,'2013-08-29'
51,63,75,'2013-08-30'
53,66,79,'2013-08-31'
55,66,78,'2013-09-01'
53,65,77,'2013-09-02'
48,62,77,'2013-09-03'
53,72,91,'2013-09-04'
54,66,79,'2013-09-05'
48,62,77,'2013-09-06'
50,64,78,'2013-09-07'
50,65,80,'2013-09-08'
48,62,76,'2013-09-09'
57,68,80,'2013-09-10'
60,68,75,'2013-09-11'
56,66,77,'2013-09-12'
53,62,69,'2013-09-13'
44,56,69,'2013-09-14'
39,55,71,'2013-09-15'
51,56,62,'2013-09-16'
50,59,68,'2013-09-17'
55,62,69,'2013-09-18'
46,58,71,'2013-09-19'
53,61,69,'2013-09-20'
55,63,71,'2013-09-21'
48,57,66,'2013-09-22'
44,55,66,'2013-09-23'
41,55,69,'2013-09-24'
48,62,77,'2013-09-25'
46,60,75,'2013-09-26'
44,58,71,'2013-09-27'
54,64,75,'2013-09-28'
46,60,75,'2013-09-29'
55,62,68,'2013-09-30'
51,58,64,'2013-10-01'
50,57,64,'2013-10-02'
42,50,57,'2013-10-03'
37,45,53,'2013-10-04'
36,48,60,'2013-10-05'
42,52,62,'2013-10-06'
50,54,57,'2013-10-07'
48,57,66,'2013-10-08'
51,55,59,'2013-10-09'
48,58,69,'2013-10-10'
55,60,64,'2013-10-11'
53,62,71,'2013-10-12'
50,60,69,'2013-10-13'
51,62,73,'2013-10-14'
46,58,69,'2013-10-15'
51,56,62,'2013-10-16'
42,50,57,'2013-10-17'
41,50,62,'2013-10-18'
40,51,62,'2013-10-19'
39,52,64,'2013-10-20'
37,50,64,'2013-10-21'
41,52,64,'2013-10-22'
46,56,66,'2013-10-23'
42,54,66,'2013-10-24'
41,52,64,'2013-10-25'
41,54,66,'2013-10-26'
46,56,64,'2013-10-27'
47,56,66,'2013-10-28'
46,56,66,'2013-10-29'
42,53,64,'2013-10-30'
48,55,62,'2013-10-31'
48,55,64,'2013-11-01'
45,54,62,'2013-11-02'
39,52,66,'2013-11-03'
42,55,68,'2013-11-04'
51,56,60,'2013-11-05'
50,55,60,'2013-11-06'
42,52,62,'2013-11-07'
42,52,62,'2013-11-08'
44,52,60,'2013-11-09'
39,52,64,'2013-11-10'
50,54,59,'2013-11-11'
54,57,59,'2013-11-12'
53,56,58,'2013-11-13'
50,52,56,'2013-11-14'
45,49,54,'2013-11-15'
45,51,56,'2013-11-16'
37,46,56,'2013-11-17'
37,46,56,'2013-11-18'
46,50,52,'2013-11-19'
47,53,59,'2013-11-20'
42,50,58,'2013-11-21'
39,48,59,'2013-11-22'
42,47,53,'2013-11-23'
39,40,43,'2013-11-24'
38,44,52,'2013-11-25'
32,34,39,'2013-11-26'
26,33,41,'2013-11-27'
28,34,42,'2013-11-28'
26,36,47,'2013-11-29'
29,36,42,'2013-11-30'
38,43,48,'2013-12-01'
41,44,52,'2013-12-02'
33,37,43,'2013-12-03'
26,34,43,'2013-12-04'
24,35,47,'2013-12-05'
23,38,52,'2013-12-06'
29,35,39,'2013-12-07'
17,29,42,'2013-12-08'
25,36,48,'2013-12-09'
34,42,52,'2013-12-10'
23,34,44,'2013-12-11'
23,34,45,'2013-12-12'
24,36,49,'2013-12-13'
26,36,49,'2013-12-14'
24,35,47,'2013-12-15'
28,35,42,'2013-12-16'
26,34,44,'2013-12-17'
21,32,43,'2013-12-18'
21,33,45,'2013-12-19'
23,34,46,'2013-12-20'
23,34,46,'2013-12-21'
21,34,47,'2013-12-22'
26,35,44,'2013-12-23'
27,34,42,'2013-12-24'
33,38,44,'2013-12-25'
35,41,47,'2013-12-26'
41,44,47,'2013-12-27'
33,42,52,'2013-12-28'
33,38,43,'2013-12-29'
33,37,41,'2013-12-30'
32,38,45,'2013-12-31'
39,42,45,'2014-01-01'
32,40,48,'2014-01-02'
30,38,46,'2014-01-03'
32,36,41,'2014-01-04'
37,44,50,'2014-01-05'
43,48,52,'2014-01-06'
32,41,49,'2014-01-07'
33,36,40,'2014-01-08'
30,35,41,'2014-01-09'
34,40,46,'2014-01-10'
32,37,43,'2014-01-11'
34,38,41,'2014-01-12'
30,35,42,'2014-01-13'
30,38,47,'2014-01-14'
40,42,45,'2014-01-15'
39,44,50,'2014-01-16'
30,40,50,'2014-01-17'
30,40,50,'2014-01-18'
33,42,52,'2014-01-19'
45,50,57,'2014-01-20'
42,45,50,'2014-01-21'
42,44,49,'2014-01-22'
39,42,48,'2014-01-23'
36,42,49,'2014-01-24'
36,41,48,'2014-01-25'
26,30,35,'2014-01-26'
19,26,36,'2014-01-27'
28,33,39,'2014-01-28'
32,39,47,'2014-01-29'
29,38,48,'2014-01-30'
37,42,49,'2014-01-31'
37,40,45,'2014-02-01'
36,38,44,'2014-02-02'
33,38,45,'2014-02-03'
32,36,40,'2014-02-04'
34,39,47,'2014-02-05'
35,38,41,'2014-02-06'
33,42,50,'2014-02-07'
32,40,49,'2014-02-08'
42,47,52,'2014-02-09'
39,46,56,'2014-02-10'
35,48,61,'2014-02-11'
45,48,56,'2014-02-12'
37,44,53,'2014-02-13'
32,39,48,'2014-02-14'
33,40,50,'2014-02-15'
28,40,56,'2014-02-16'
33,48,63,'2014-02-17'
33,45,60,'2014-02-18'
35,50,64,'2014-02-19'
33,44,56,'2014-02-20'
37,46,54,'2014-02-21'
40,45,52,'2014-02-22'
33,43,55,'2014-02-23'
40,44,49,'2014-02-24'
32,40,49,'2014-02-25'
31,42,56,'2014-02-26'
31,41,53,'2014-02-27'
32,40,50,'2014-02-28'
36,42,48,'2014-03-01'
37,41,46,'2014-03-02'
33,41,50,'2014-03-03'
32,41,51,'2014-03-04'
35,44,55,'2014-03-05'
39,45,55,'2014-03-06'
40,45,51,'2014-03-07'
41,47,55,'2014-03-08'
39,45,52,'2014-03-09'
34,40,48,'2014-03-10'
32,39,47,'2014-03-11'
30,42,55,'2014-03-12'
32,44,57,'2014-03-13'
32,44,59,'2014-03-14'
35,49,64,'2014-03-15'
35,46,58,'2014-03-16'
37,48,61,'2014-03-17'
44,54,67,'2014-03-18'
39,54,69,'2014-03-19'
37,50,63,'2014-03-20'
38,50,64,'2014-03-21'
39,50,62,'2014-03-22'
38,52,67,'2014-03-23'
40,49,59,'2014-03-24'
33,40,52,'2014-03-25'
36,40,46,'2014-03-26'
37,46,54,'2014-03-27'
33,40,46,'2014-03-28'
39,50,63,'2014-03-29'
38,50,62,'2014-03-30'
31,46,64,'2014-03-31'
31,48,66,'2014-04-01'
37,50,64,'2014-04-02'
42,54,67,'2014-04-03'
40,51,62,'2014-04-04'
48,58,68,'2014-04-05'
47,54,60,'2014-04-06'
47,56,66,'2014-04-07'
41,53,65,'2014-04-08'
41,54,68,'2014-04-09'
38,47,56,'2014-04-10'
30,40,50,'2014-04-11'
31,44,58,'2014-04-12'
35,45,55,'2014-04-13'
41,53,65,'2014-04-14'
42,50,59,'2014-04-15'
32,36,41,'2014-04-16'
34,43,52,'2014-04-17'
32,38,43,'2014-04-18'
37,44,50,'2014-04-19'
45,52,59,'2014-04-20'
