min,mean,max,date
64,78,91,'2015-07-20'
68,80,93,'2015-07-21'
67,79,91,'2015-07-22'
65,78,90,'2015-07-23'
62,76,89,'2015-07-24'
59,74,90,'2015-07-25'
58,73,88,'2015-07-26'
60,75,90,'2015-07-27'
62,76,90,'2015-07-28'
62,78,93,'2015-07-29'
64,78,94,'2015-07-30'
63,77,91,'2015-07-31'
62,76,90,'2015-08-01'
64,76,88,'2015-08-02'
64,76,88,'2015-08-03'
60,70,80,'2015-08-04'
57,72,87,'2015-08-05'
65,75,85,'2015-08-06'
60,74,87,'2015-08-07'
59,72,85,'2015-08-08'
64,74,83,'2015-08-09'
62,73,84,'2015-08-10'
62,76,89,'2015-08-11'
61,75,89,'2015-08-12'
63,77,91,'2015-08-13'
61,74,87,'2015-08-14'
61,76,90,'2015-08-15'
59,74,89,'2015-08-16'
58,68,77,'2015-08-17'
55,70,84,'2015-08-18'
57,71,85,'2015-08-19'
57,70,82,'2015-08-20'
54,68,81,'2015-08-21'
57,65,73,'2015-08-22'
53,66,78,'2015-08-23'
56,69,82,'2015-08-24'
58,72,86,'2015-08-25'
61,73,85,'2015-08-26'
61,73,85,'2015-08-27'
60,73,86,'2015-08-28'
60,76,91,'2015-08-29'
59,73,87,'2015-08-30'
64,77,90,'2015-08-31'
61,74,87,'2015-09-01'
61,76,90,'2015-09-02'
59,74,89,'2015-09-03'
59,74,88,'2015-09-04'
60,76,91,'2015-09-05'
60,76,82,'2015-09-06'
57,69,81,'2015-09-07'
54,66,77,'2015-09-08'
55,66,77,'2015-09-09'
55,62,69,'2015-09-10'
57,67,77,'2015-09-11'
51,63,75,'2015-09-12'
52,65,78,'2015-09-13'
55,66,78,'2015-09-14'
56,68,80,'2015-09-15'
58,70,82,'2015-09-16'
60,71,82,'2015-09-17'
60,72,84,'2015-09-18'
59,72,84,'2015-09-19'
53,68,83,'2015-09-20'
58,64,70,'2015-09-21'
55,62,68,'2015-09-22'
54,64,75,'2015-09-23'
55,68,76,'2015-09-24'
54,57,60,'2015-09-25'
50,56,63,'2015-09-26'
55,60,66,'2015-09-27'
52,58,64,'2015-09-28'
51,58,66,'2015-09-29'
51,59,67,'2015-09-30'
53,60,67,'2015-10-01'
46,57,68,'2015-10-02'
48,59,70,'2015-10-03'
53,62,72,'2015-10-04'
50,60,70,'2015-10-05'
49,60,70,'2015-10-06'
55,58,60,'2015-10-07'
54,60,67,'2015-10-08'
51,59,67,'2015-10-09'
55,60,64,'2015-10-10'
52,58,63,'2015-10-11'
51,58,63,'2015-10-12'
43,54,64,'2015-10-13'
46,56,66,'2015-10-14'
51,60,68,'2015-10-15'
53,57,61,'2015-10-16'
52,58,64,'2015-10-17'
53,60,67,'2015-10-18'
53,60,66,'2015-10-19'
53,62,70,'2015-10-20'
48,52,56,'2015-10-21'
42,44,47,'2015-10-22'
42,47,52,'2015-10-23'
40,50,59,'2015-10-24'
35,46,57,'2015-10-25'
36,48,59,'2015-10-26'
38,50,61,'2015-10-27'
42,52,61,'2015-10-28'
41,50,59,'2015-10-29'
37,48,58,'2015-10-30'
45,50,56,'2015-10-31'
38,46,54,'2015-11-01'
34,46,58,'2015-11-02'
33,46,58,'2015-11-03'
33,46,59,'2015-11-04'
35,47,59,'2015-11-05'
35,47,59,'2015-11-06'
35,47,59,'2015-11-07'
32,46,59,'2015-11-08'
39,51,63,'2015-11-09'
41,52,64,'2015-11-10'
42,52,63,'2015-11-11'
45,55,65,'2015-11-12'
43,52,62,'2015-11-13'
41,52,63,'2015-11-14'
41,50,59,'2015-11-15'
39,50,60,'2015-11-16'
41,51,61,'2015-11-17'
37,50,64,'2015-11-18'
39,48,57,'2015-11-19'
33,46,59,'2015-11-20'
52,56,59,'2015-11-21'
42,50,57,'2015-11-22'
39,48,57,'2015-11-23'
47,54,61,'2015-11-24'
45,48,50,'2015-11-25'
44,50,56,'2015-11-26'
37,40,44,'2015-11-27'
37,42,46,'2015-11-28'
32,40,46,'2015-11-29'
27,38,50,'2015-11-30'
30,41,52,'2015-12-01'
35,43,51,'2015-12-02'
33,44,54,'2015-12-03'
32,43,54,'2015-12-04'
32,42,51,'2015-12-05'
30,38,46,'2015-12-06'
28,38,47,'2015-12-07'
28,38,49,'2015-12-08'
28,38,49,'2015-12-09'
32,36,41,'2015-12-10'
29,36,39,'2015-12-11'
25,35,45,'2015-12-12'
23,36,49,'2015-12-13'
28,38,48,'2015-12-14'
28,39,50,'2015-12-15'
28,38,47,'2015-12-16'
28,36,45,'2015-12-17'
25,34,43,'2015-12-18'
30,39,48,'2015-12-19'
32,42,52,'2015-12-20'
28,39,50,'2015-12-21'
28,39,50,'2015-12-22'
26,39,52,'2015-12-23'
30,40,51,'2015-12-24'
26,37,48,'2015-12-25'
30,40,50,'2015-12-26'
26,38,51,'2015-12-27'
28,40,52,'2015-12-28'
28,39,50,'2015-12-29'
29,38,45,'2015-12-30'
19,28,34,'2015-12-31'
