min,mean,max,date
21,34,46,'2007-01-01'
41,46,50,'2007-01-02'
30,36,41,'2007-01-03'
24,32,41,'2007-01-04'
23,28,33,'2007-01-05'
28,36,44,'2007-01-06'
24,34,44,'2007-01-07'
28,37,46,'2007-01-08'
30,38,46,'2007-01-09'
28,34,41,'2007-01-10'
32,34,37,'2007-01-11'
33,38,44,'2007-01-12'
30,39,48,'2007-01-13'
26,36,46,'2007-01-14'
30,42,55,'2007-01-15'
23,34,44,'2007-01-16'
23,36,48,'2007-01-17'
39,44,48,'2007-01-18'
46,50,53,'2007-01-19'
33,44,55,'2007-01-20'
30,44,59,'2007-01-21'
30,40,51,'2007-01-22'
32,42,51,'2007-01-23'
42,45,48,'2007-01-24'
32,38,44,'2007-01-25'
33,37,41,'2007-01-26'
30,39,48,'2007-01-27'
24,32,39,'2007-01-28'
23,32,42,'2007-01-29'
28,36,44,'2007-01-30'
24,34,44,'2007-01-31'
24,35,46,'2007-02-01'
28,35,42,'2007-02-02'
24,32,41,'2007-02-03'
26,32,39,'2007-02-04'
23,32,42,'2007-02-05'
21,34,48,'2007-02-06'
26,37,48,'2007-02-07'
39,42,44,'2007-02-08'
37,44,50,'2007-02-09'
41,44,46,'2007-02-10'
35,42,48,'2007-02-11'
32,42,53,'2007-02-12'
37,42,48,'2007-02-13'
32,42,50,'2007-02-14'
28,37,46,'2007-02-15'
37,40,42,'2007-02-16'
37,42,48,'2007-02-17'
35,40,46,'2007-02-18'
35,38,42,'2007-02-19'
37,42,48,'2007-02-20'
32,42,53,'2007-02-21'
32,42,53,'2007-02-22'
37,46,55,'2007-02-23'
39,42,46,'2007-02-24'
35,38,41,'2007-02-25'
37,40,42,'2007-02-26'
32,36,41,'2007-02-27'
28,38,48,'2007-02-28'
37,44,50,'2007-03-01'
46,50,55,'2007-03-02'
46,52,59,'2007-03-03'
41,52,62,'2007-03-04'
32,42,51,'2007-03-05'
32,42,53,'2007-03-06'
32,44,55,'2007-03-07'
41,48,55,'2007-03-08'
37,48,59,'2007-03-09'
39,45,51,'2007-03-10'
41,46,50,'2007-03-11'
33,42,51,'2007-03-12'
35,47,59,'2007-03-13'
33,45,57,'2007-03-14'
32,46,59,'2007-03-15'
33,44,55,'2007-03-16'
32,46,60,'2007-03-17'
30,44,57,'2007-03-18'
32,46,59,'2007-03-19'
39,47,53,'2007-03-20'
35,40,46,'2007-03-21'
35,38,42,'2007-03-22'
35,40,46,'2007-03-23'
37,44,50,'2007-03-24'
37,42,48,'2007-03-25'
35,42,50,'2007-03-26'
39,44,50,'2007-03-27'
37,40,44,'2007-03-28'
39,44,48,'2007-03-29'
37,42,46,'2007-03-30'
35,42,50,'2007-03-31'
35,45,55,'2007-04-01'
37,48,59,'2007-04-02'
37,46,55,'2007-04-03'
35,43,51,'2007-04-04'
39,46,53,'2007-04-05'
33,44,55,'2007-04-06'
33,46,59,'2007-04-07'
41,52,62,'2007-04-08'
39,50,60,'2007-04-09'
33,50,66,'2007-04-10'
35,50,66,'2007-04-11'
39,50,62,'2007-04-12'
35,50,64,'2007-04-13'
41,54,68,'2007-04-14'
41,54,66,'2007-04-15'
42,50,59,'2007-04-16'
37,44,51,'2007-04-17'
32,48,64,'2007-04-18'
37,50,64,'2007-04-19'
41,52,64,'2007-04-20'
39,56,73,'2007-04-21'
42,56,71,'2007-04-22'
48,57,66,'2007-04-23'
41,56,71,'2007-04-24'
50,54,59,'2007-04-25'
42,50,57,'2007-04-26'
42,48,55,'2007-04-27'
41,52,62,'2007-04-28'
35,50,64,'2007-04-29'
37,52,68,'2007-04-30'
48,56,64,'2007-05-01'
48,52,57,'2007-05-02'
46,53,60,'2007-05-03'
48,55,62,'2007-05-04'
44,55,66,'2007-05-05'
53,63,73,'2007-05-06'
48,58,69,'2007-05-07'
42,56,69,'2007-05-08'
42,58,73,'2007-05-09'
48,60,73,'2007-05-10'
48,62,75,'2007-05-11'
44,60,77,'2007-05-12'
48,63,78,'2007-05-13'
50,65,80,'2007-05-14'
51,66,80,'2007-05-15'
46,62,77,'2007-05-16'
46,58,69,'2007-05-17'
46,55,64,'2007-05-18'
50,59,68,'2007-05-19'
50,57,64,'2007-05-20'
50,58,66,'2007-05-21'
48,60,71,'2007-05-22'
50,60,71,'2007-05-23'
53,60,68,'2007-05-24'
48,60,71,'2007-05-25'
50,60,71,'2007-05-26'
48,62,77,'2007-05-27'
55,65,75,'2007-05-28'
55,60,64,'2007-05-29'
48,56,64,'2007-05-30'
41,55,69,'2007-05-31'
41,55,69,'2007-06-01'
44,58,73,'2007-06-02'
50,62,75,'2007-06-03'
53,64,75,'2007-06-04'
55,60,64,'2007-06-05'
51,58,66,'2007-06-06'
48,60,73,'2007-06-07'
53,60,68,'2007-06-08'
53,62,71,'2007-06-09'
48,60,73,'2007-06-10'
50,62,73,'2007-06-11'
48,62,75,'2007-06-12'
48,62,77,'2007-06-13'
50,62,75,'2007-06-14'
51,64,78,'2007-06-15'
51,64,77,'2007-06-16'
50,64,78,'2007-06-17'
50,66,82,'2007-06-18'
51,68,84,'2007-06-19'
55,70,84,'2007-06-20'
59,72,86,'2007-06-21'
55,72,89,'2007-06-22'
57,74,91,'2007-06-23'
55,72,89,'2007-06-24'
55,74,93,'2007-06-25'
55,74,93,'2007-06-26'
53,68,82,'2007-06-27'
57,68,78,'2007-06-28'
48,63,78,'2007-06-29'
55,66,78,'2007-06-30'
50,65,80,'2007-07-01'
53,68,82,'2007-07-02'
51,66,80,'2007-07-03'
51,66,82,'2007-07-04'
55,66,75,'2007-07-05'
46,60,75,'2007-07-06'
48,65,82,'2007-07-07'
51,68,86,'2007-07-08'
53,70,86,'2007-07-09'
53,70,87,'2007-07-10'
51,66,80,'2007-07-11'
46,60,75,'2007-07-12'
51,64,77,'2007-07-13'
50,65,80,'2007-07-14'
51,66,80,'2007-07-15'
55,70,86,'2007-07-16'
55,71,87,'2007-07-17'
57,72,87,'2007-07-18'
59,73,87,'2007-07-19'
55,71,87,'2007-07-20'
57,72,87,'2007-07-21'
59,74,89,'2007-07-22'
57,76,95,'2007-07-23'
59,78,98,'2007-07-24'
57,74,91,'2007-07-25'
64,75,86,'2007-07-26'
59,72,86,'2007-07-27'
60,72,84,'2007-07-28'
59,72,86,'2007-07-29'
60,74,89,'2007-07-30'
60,71,82,'2007-07-31'
53,66,80,'2007-08-01'
57,68,80,'2007-08-02'
57,70,82,'2007-08-03'
57,70,82,'2007-08-04'
50,56,62,'2007-08-05'
