vis
5.7742
5.8571
5.8065
6
6
6
6
6
5.9333
6
5.8333
5.9677
5.6129
6
6
6
6
6
6
6
5.9667
6
5.7
5.6129
5.7097
5.6552
5.9032
6.3667
6.3871
7.5
7.2903
7.7742
7.8
7.6452
7.4
6.6774
6.8065
6.8214
7
7.5667
6.9355
6.8333
6.4839
6.4516
7.6
9.0323
8.2
8.9677
6.0323
8.5714
8.5806
7.7667
7.7419
7.7667
8.0323
8.5484
7.7667
8.2258
8.2
8.2258
8.5484
8.7857
7.9032
8.6
8.2581
7.6667
8.0645
7.871
8.1
7.8065
9.3333
8.7742
